model,CL,experiment,tuning,single_acc,multi_acc
Llama-3.2-3B-Instruct,5,Exp2,Case Report,0.1169,0.1219
Llama-3.2-3B-Instruct,5,Exp2,Dialogue,0.1219,0.1224
Llama-3.2-3B-Instruct,5,Exp1,Multi_Choice,0.0491,0.0574
Llama-3.2-3B-Instruct,5,Exp1,Dialogue,0.1372,0.1549
Llama-3.2-3B-Instruct,0,Exp3,Dialogue,0.2738,0.1508
Llama-3.2-3B-Instruct,0,Exp1,Multi_Choice,0.0822,0.0579
Llama-3.2-3B-Instruct,0,Exp2,Case Report,0.2265,0.1328
Llama-3.2-3B-Instruct,0,Exp1,Dialogue,0.2951,0.1718
Llama-3.2-3B-Instruct,0,Raw,Raw,0.2408,0.1404
Llama-3.2-3B-Instruct,0,Exp3,Baseline,0.0076,0.014
Llama-3.2-3B-Instruct,0,Exp2,Dialogue,0.2522,0.1466
Llama-3.2-3B-Instruct,3,Exp1,Dialogue,0.1806,0.1336
Llama-3.2-3B-Instruct,3,Exp2,Dialogue,0.1618,0.1443
Llama-3.2-3B-Instruct,3,Exp2,Case Report,0.147,0.1355
Llama-3.2-3B-Instruct,3,Exp1,Multi_Choice,0.0679,0.0598
Llama-3.2-3B-Instruct,1,Exp2,Dialogue,0.2252,0.1211
Llama-3.2-3B-Instruct,1,Exp2,Case Report,0.2116,0.135
Llama-3.2-3B-Instruct,1,Exp1,Dialogue,0.2625,0.1358
Llama-3.2-3B-Instruct,1,Exp3,Dialogue,0.2689,0.1069
Llama-3.2-3B-Instruct,1,Exp3,Baseline,0.0034,0.0146
Llama-3.2-3B-Instruct,1,Raw,Raw,0.2299,0.108
Llama-3.2-3B-Instruct,1,Exp1,Multi_Choice,0.1126,0.0773
Llama-3.1-8B-Instruct,5,Exp1,Multi_Choice,0.1425,0.125
Llama-3.1-8B-Instruct,5,Exp1,Dialogue,0.1599,0.1066
Llama-3.1-8B-Instruct,5,Exp2,Case Report,0.2032,0.1311
Llama-3.1-8B-Instruct,1,Exp2,Dialogue,0.2707,0.1248
Llama-3.1-8B-Instruct,1,Exp3,Dialogue,0.2351,0.1415
Llama-3.1-8B-Instruct,1,Exp2,Case Report,0.2852,0.1441
Llama-3.1-8B-Instruct,1,Exp1,Dialogue,0.2487,0.1552
Llama-3.1-8B-Instruct,1,Exp3,Baseline,0.0012,0.0022
Llama-3.1-8B-Instruct,1,Raw,Raw,0.2925,0.1544
Llama-3.1-8B-Instruct,0,Exp2,Dialogue,0.2496,0.1441
Llama-3.1-8B-Instruct,0,Raw,Raw,0.2899,0.1662
Llama-3.1-8B-Instruct,0,Exp1,Multi_Choice,0.288,0.1663
Llama-3.1-8B-Instruct,0,Exp3,Baseline,0.0004,0.0015
Llama-3.1-8B-Instruct,0,Exp3,Dialogue,0.2281,0.1341
Llama-3.1-8B-Instruct,0,Exp1,Dialogue,0.258,0.1588
Llama-3.1-8B-Instruct,0,Exp2,Case Report,0.2852,0.16
Llama-3.1-8B-Instruct,3,Exp1,Dialogue,0.1829,0.1242
Llama-3.1-8B-Instruct,3,Exp2,Dialogue,0.2131,0.1368
Llama-3.1-8B-Instruct,3,Exp1,Multi_Choice,0.1785,0.1499
Llama-3.1-8B-Instruct,3,Exp2,Case Report,0.2299,0.1562
Qwen2.5-3B-Instruct,1,Exp2,Case Report,0.3282,0.1608
Qwen2.5-3B-Instruct,1,Exp3,Baseline,0.3169,0.155
Qwen2.5-3B-Instruct,1,Exp1,Dialogue,0.3204,0.1592
Qwen2.5-3B-Instruct,1,Exp2,Dialogue,0.322,0.1614
Qwen2.5-3B-Instruct,1,Exp3,Dialogue,0.3303,0.1633
Qwen2.5-3B-Instruct,0,Exp1,Dialogue,0.2979,0.1663
Qwen2.5-3B-Instruct,0,Exp2,Dialogue,0.26,0.153
Qwen2.5-3B-Instruct,0,Raw,Raw,0.3054,0.1547
Qwen2.5-3B-Instruct,0,Exp2,Case Report,0.2848,0.1588
Qwen2.5-3B-Instruct,0,Exp3,Dialogue,0.2932,0.1583
Qwen2.5-3B-Instruct,0,Exp1,Multi_Choice,0.2281,0.1243
Qwen2.5-3B-Instruct,0,Exp3,Baseline,0.2572,0.1453
Qwen2.5-3B-Instruct,5,Exp3,Dialogue,0.2591,0.1496
Qwen2.5-3B-Instruct,5,Exp2,Case Report,0.2533,0.1385
Qwen2.5-3B-Instruct,5,Exp1,Multi_Choice,0.2068,0.1502
Qwen2.5-3B-Instruct,5,Exp2,Dialogue,0.248,0.146
Qwen2.5-3B-Instruct,5,Raw,Raw,0.2527,0.1431
Qwen2.5-3B-Instruct,5,Exp1,Dialogue,0.2522,0.1526
Qwen2.5-3B-Instruct,3,Exp3,Dialogue,0.2722,0.142
Qwen2.5-3B-Instruct,3,Exp1,Multi_Choice,0.2405,0.1202
Qwen2.5-3B-Instruct,3,Exp1,Dialogue,0.2691,0.147
Qwen2.5-3B-Instruct,3,Exp2,Dialogue,0.27,0.1406
Qwen2.5-3B-Instruct,3,Exp2,Case Report,0.2718,0.1318
